Disease,Symptom1,Symptom2,Symptom3,Precautions,Medications,Specialist
Diabetes,Frequent Urination,Increased Thirst,Fatigue,"Maintain a balanced diet, exercise regularly, monitor blood sugar levels, and avoid sugary foods.",Metformin,Endocrinologist
Malaria,Fever,Headache,Chills,"Use mosquito nets, wear long-sleeved clothing, apply insect repellent, and avoid stagnant water.",Chloroquine,Infectious Disease Specialist
Common Cold,Sneezing,Sore Throat,Cough,"Wash hands frequently, avoid close contact with sick individuals, stay hydrated, and get adequate rest.",Paracetamol,General Physician
Hypertension,Headache,Dizziness,Blurred Vision,"Reduce salt intake, exercise regularly, avoid smoking and alcohol, and manage stress.",Lisinopril,Cardiologist
Arthritis,Joint Pain,Stiffness,Swelling,"Maintain a healthy weight, exercise regularly, avoid repetitive motions, and use joint protection techniques.",Ibuprofen,Rheumatologist
Gastritis,Stomach Pain,Nausea,Indigestion,"Avoid spicy and acidic foods, eat smaller meals, limit alcohol consumption, and manage stress.",Antacids,Gastroenterologist
Migraine,Headache,Nausea,Sensitivity to Light,"Identify and avoid triggers like stress and certain foods, maintain a regular sleep schedule, and stay hydrated.",Sumatriptan,Neurologist
Dengue,Fever,Muscle Pain,Rash,"Prevent mosquito bites by using repellents, wear protective clothing, and eliminate standing water around your home.",Paracetamol,Infectious Disease Specialist
Bronchitis,Cough,Chest Discomfort,Fatigue,"Quit smoking, avoid irritants like dust and pollution, stay hydrated, and get plenty of rest.",Amoxicillin,Pulmonologist
COVID-19,Fever,Cough,Shortness of breath,"Wear mask, sanitize hands, social distance","Antivirals, pain relievers",Pulmonologist
Influenza (Flu),Fever,Body aches,Sore throat,"Flu vaccine, hygiene, avoid sick people","Antivirals, pain relievers",General Physician
Tuberculosis,Cough (blood-tinged),Night sweats,Weight loss,"BCG vaccine, avoid infected individuals","Antibiotics (Rifampin, Isoniazid)",Pulmonologist
Malaria,High fever,Chills,Sweating,"Use mosquito nets, antimalarial drugs","Chloroquine, Artemisinin",Infectious Disease Specialist
Dengue Fever,High fever,Severe headache,Skin rash,"Mosquito control, ","Pain relievers, IV fluids",Infectious Disease Specialist
Typhoid,High fever,Abdominal pain,Weakness,"Hygiene, avoid contaminated food/water",Antibiotics (Ciprofloxacin),General Physician
Cholera,Severe diarrhea,Dehydration,Vomiting,"Clean water, sanitation","ORS, Antibiotics",Infectious Disease Specialist
Pneumonia,Chest pain,Fever,Cough (mucus),"Vaccination, avoid smoking","Antibiotics, Antivirals",Pulmonologist
Asthma,Shortness of breath,Wheezing,Chest tightness,"Avoid allergens, inhaler use","Bronchodilators, Steroids",Pulmonologist
Bronchitis,Persistent cough,Mucus production,Fatigue,"Avoid smoke, stay hydrated","Cough suppressants, Antibiotics (if bacterial)",Pulmonologist
Diabetes,Frequent urination,Excessive thirst,Fatigue,"Healthy diet, exercise","Insulin, Metformin",Endocrinologist
Hypertension,Headache,Dizziness,Nosebleeds,"Low-salt diet, exercise","Beta-blockers, ACE inhibitors",Cardiologist
Heart Disease,Chest pain,Shortness of breath,Fatigue,"Healthy lifestyle, cholesterol control","Blood thinners, Statins",Cardiologist
Stroke,Numbness (one side),Confusion,Slurred speech,"Control BP, avoid smoking","Blood thinners, Clot busters",Neurologist
Alzheimer's Disease,Memory loss,Confusion,Mood changes,"Mental exercises, healthy diet",Cholinesterase inhibitors,Neurologist
Parkinson's Disease,Tremors,Stiff muscles,Slowed movement,"Exercise, avoid toxins",Dopamine medications,Neurologist
Epilepsy,Seizures,Unconsciousness,Confusion,"Avoid triggers, stress management",Anticonvulsants,Neurologist
